TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
dénoncer	0.052739	0.007627	0.200600	57	24	14	17	2
...	0.052190	0.158023	0.135701	1651	572	373	581	125
monsieur	0.052043	0.003051	0.283245	20	8	4	5	3
début	0.051908	0.003966	0.165159	30	10	4	13	3
cest	0.051866	0.004271	0.546055	20	11	5	1	3
publicité	0.051813	0.000915	-0.286177	25	1	6	15	3
blog	0.051247	0.000915	-0.338555	28	2	5	20	1
bol	0.050916	0.000610	-0.260958	20	2	2	16	0
donné	0.050777	0.002746	0.203605	21	7	4	6	4
commence	0.050488	0.002135	-0.201619	34	7	10	17	0
hommes	0.050374	0.053691	0.261020	399	164	89	109	37
européen	0.050170	0.000000	-0.513150	29	0	1	28	0
marie	0.050023	0.003356	-0.143269	48	8	10	27	3
féminine	0.050008	0.003966	0.243425	28	10	5	10	3
fmi	0.049832	0.000305	-0.447361	26	0	2	23	1
conne	0.049740	0.009457	0.026019	102	24	28	39	11
veut	0.049396	0.016473	0.185227	132	42	24	51	15
!!!	0.049350	0.008237	-0.014917	107	31	24	48	4
tweet	0.049125	0.003966	0.082940	34	11	3	18	2
diffamation	0.048559	0.002746	-0.393690	200	5	3	187	5
oh	0.048550	0.003051	0.174646	22	9	5	7	1
milliers	0.048527	0.001525	-0.134862	23	3	3	14	3
semble	0.048522	0.003356	0.041672	30	9	11	8	2
ville	0.047749	0.003966	0.215404	28	11	3	12	2
souhaite	0.047731	0.004881	0.267831	32	14	5	11	2
militaire	0.047643	0.000305	-0.418578	20	1	2	17	0
déposée	0.047290	0.003051	0.650812	22	19	2	1	0
presse	0.047166	0.007932	-0.238032	213	30	24	152	7
sorti	0.047004	0.000000	-0.513150	25	0	0	25	0
vont	0.046333	0.006406	0.135343	51	17	9	20	5
appelle	0.046232	0.001525	-0.092830	20	5	2	13	0
porté	0.046150	0.002135	0.044327	23	5	4	12	2
genre	0.046024	0.025015	0.503885	128	80	25	16	7
parlement	0.045682	0.000305	-0.447361	28	1	1	26	0
christine	0.045625	0.003051	-0.382706	150	5	11	127	7
charte	0.045402	0.000610	-0.353871	20	2	1	16	1
publique	0.045320	0.001830	-0.100472	23	7	5	11	0
meurtre	0.045240	0.002135	0.044327	23	6	5	10	2
millions	0.045029	0.002441	-0.293055	58	7	9	41	1
mademoiselle	0.044959	0.007932	0.943957	28	26	1	0	1
journalistes	0.044464	0.003966	0.048877	37	7	8	16	6
bergé	0.044447	0.011897	0.142549	111	36	19	46	10
victime	0.044401	0.013423	0.308808	84	37	17	22	8
vague	0.044220	0.002135	0.016453	22	6	3	11	2
rôle	0.043862	0.002441	-0.109643	31	3	8	15	5
pécresse	0.043726	0.003051	-0.080821	44	9	5	29	1
est	0.043695	0.177547	0.108780	1641	530	349	609	153
valérie	0.043405	0.002135	-0.171471	35	7	6	22	0
change	0.043398	0.005186	0.182081	39	11	11	11	6
europe	0.043372	0.000305	-0.457107	37	0	7	28	2
royaume	0.043197	0.000610	-0.431358	45	1	1	42	1
ben	0.042817	0.005796	0.188066	41	13	13	9	6
foot	0.042549	0.007932	0.092110	74	23	13	31	7
propos	0.042317	0.011592	0.056154	108	33	18	50	7
pub	0.042014	0.008847	0.364477	64	26	11	20	7
claire	0.042005	0.001220	-0.224931	28	5	8	14	1
métro	0.041832	0.008237	0.459589	52	28	10	13	1
parisien	0.041424	0.004576	-0.008766	75	17	12	39	7
sexuel	0.041377	0.017389	0.029300	197	42	57	75	23
mot	0.041272	0.005186	0.011821	61	13	10	32	6
république	0.041070	0.002135	-0.192179	37	6	8	22	1
syrie	0.040990	0.000305	-0.462711	42	0	0	40	2
fond	0.040901	0.006101	0.174646	49	15	4	23	7
eu	0.040742	0.008542	0.083585	76	23	19	27	7
envisageons	0.040610	0.000000	-0.513150	24	0	1	23	0
parlé	0.040458	0.003356	0.319083	21	11	4	5	1
gagner	0.040436	0.000915	-0.246123	21	4	1	16	0
sexuelles	0.040023	0.012203	-0.117555	184	28	32	109	15
grand	0.039920	0.015558	0.208071	116	49	25	35	7
existe	0.039724	0.003661	0.159361	28	11	11	5	1
haine	0.039713	0.002135	-0.105763	31	6	16	7	2
aura	0.039411	0.004271	-0.042392	46	15	7	24	0
aucun	0.039375	0.003661	-0.035313	42	12	11	17	2
com	0.039309	0.002135	-0.226878	56	3	4	44	5
arrive	0.039235	0.004271	0.059393	37	13	11	12	1
certains	0.039230	0.008542	0.181411	65	26	19	16	4
partout	0.039031	0.004881	0.123966	42	14	6	19	3
voulons	0.038876	0.000000	-0.513150	26	0	1	25	0
canada	0.038813	0.002441	-0.332475	76	3	5	63	5
français	0.038689	0.005796	-0.219784	116	16	13	80	7
médiatique	0.038597	0.003051	-0.232937	82	7	8	64	3
cul	0.038363	0.013423	0.873904	52	48	3	1	0
masculin	0.038273	0.006406	0.810856	24	20	2	1	1
ce	0.037689	0.136059	0.105425	1197	372	268	444	113
tellement	0.037310	0.013118	0.290127	84	33	22	17	12
agression	0.037077	0.005796	0.263873	43	16	12	11	4
inconduite	0.037064	0.000915	-0.134862	20	5	5	9	1
aurore	0.036966	0.011592	0.163317	102	35	16	43	8
brexit	0.036625	0.000305	-0.482269	73	0	0	72	1
plan	0.036468	0.001830	-0.260958	39	4	5	28	2
plainte	0.036390	0.017084	0.334214	124	61	24	30	9
honte	0.036331	0.008847	0.507347	43	20	7	7	9
juge	0.036273	0.003356	0.279453	24	10	5	6	3
permis	0.036273	0.001830	-0.059205	21	3	3	11	4
agresseurs	0.036174	0.003356	0.527141	20	15	2	3	0
guerre	0.036039	0.003661	-0.090875	48	9	13	21	5
tv	0.035815	0.005796	0.332434	37	19	11	5	2
politiques	0.035724	0.005796	0.188066	45	15	4	21	5
uni	0.035547	0.000305	-0.469917	44	0	0	43	1
il	0.035465	0.139414	0.186051	1181	425	267	372	117
l'intérieur	0.035451	0.000610	-0.387054	34	1	2	30	1
peine	0.035439	0.002441	0.013163	23	7	7	8	1
niveau	0.034870	0.004271	0.128793	36	11	4	16	5
ensemble	0.034554	0.004576	-0.158505	68	10	5	46	7
moins	0.034351	0.017389	0.217779	124	50	30	32	12
..."	0.034229	0.002135	0.075297	22	6	5	10	1
personnalité	0.033609	0.001830	-0.291713	47	3	2	39	3
c	0.033483	0.018304	0.174646	156	65	42	38	11
lagarde	0.033337	0.002135	-0.400468	131	4	9	113	5
réaction	0.033075	0.002746	0.010633	28	7	4	15	2
accord	0.033027	0.000915	-0.274231	22	1	2	17	2
ces	0.033024	0.030506	0.187383	231	85	52	72	22
truc	0.032978	0.003966	0.342109	23	11	7	3	2
beaucoup	0.032757	0.008542	0.023157	86	22	25	31	8
caution	0.032602	0.000305	-0.459109	50	0	0	49	1
vouloir	0.032552	0.002746	0.105866	25	7	10	6	2
dénonce	0.032398	0.003966	-0.161883	61	11	7	41	2
mme	0.032249	0.001525	-0.134862	21	2	3	13	3
si	0.032191	0.070470	0.275874	477	215	127	103	32
fort	0.032126	0.005796	0.125736	45	15	13	13	4
scandale	0.032109	0.003051	-0.104190	43	9	5	27	2
aujourd'hui	0.032020	0.011287	-0.175881	169	23	35	97	14
voici	0.031977	0.003356	-0.107183	51	9	6	32	4
sommes	0.031825	0.005491	-0.051511	62	16	9	32	5
souligner	0.031649	0.000610	-0.396754	26	2	1	23	0
salon	0.031415	0.001525	-0.134862	22	4	5	12	1
plus	0.031244	0.075961	0.033693	793	224	197	311	61
dieu	0.031042	0.003661	0.394740	22	10	3	6	3
peux	0.030909	0.008542	0.369521	49	26	10	10	3
fait	0.030794	0.075961	0.139839	651	209	126	256	60
bleues	0.030748	0.000915	-0.494469	277	0	0	274	3
meuf	0.030740	0.010372	0.683294	47	36	6	4	1
signe	0.030683	0.001830	-0.188903	30	5	2	21	2
rire	0.030619	0.005796	0.243425	44	17	9	14	4
où	0.030600	0.020744	0.114254	179	64	37	68	10
eric	0.030420	0.003051	0.008626	29	9	2	17	1
aurait	0.030266	0.015558	0.353936	98	47	20	25	6
faut	0.030028	0.030201	0.186859	230	90	52	72	16
sexuels	0.030021	0.004576	0.117329	43	12	9	17	5
chez	0.030007	0.016473	0.203605	125	54	17	51	3
italie	0.029913	0.000610	-0.369040	22	2	1	19	0
savent	0.029808	0.003661	0.243425	25	11	8	5	1
