TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
video	0.017914	0.001525	-0.333013	53	0	9	38	6
mode	0.017906	0.005491	0.394740	31	16	7	6	2
majorité	0.017899	0.000915	-0.345022	30	3	9	18	0
ceux	0.017853	0.009457	-0.039335	101	24	34	36	7
l'homme	0.017747	0.010372	0.344302	64	32	14	16	2
c'était	0.017610	0.009762	0.209549	70	26	18	18	8
faisait	0.017608	0.002441	0.037087	22	6	8	6	2
j	0.017586	0.002746	-0.145086	42	8	7	25	2
parole	0.017549	0.012508	-0.172275	224	30	36	142	16
encore	0.017511	0.036913	0.204855	273	94	66	78	35
abusé	0.017485	0.000915	-0.246123	23	3	12	8	0
type	0.017472	0.008237	0.654137	35	25	6	2	2
personnalités	0.017355	0.000915	-0.338555	28	1	2	23	2
sport	0.017345	0.006711	-0.008766	90	20	12	52	6
hier	0.017310	0.005491	0.020903	51	16	12	21	2
jusqu'au	0.017309	0.000915	-0.274231	24	2	0	21	1
toucher	0.017271	0.004576	0.432569	25	15	4	5	1
unis	0.017262	0.002441	-0.109643	33	5	8	17	3
d'une	0.017169	0.035692	0.200715	267	104	43	101	19
londres	0.017161	0.000610	-0.345022	24	1	2	19	2
youtube	0.016995	0.008237	-0.186309	179	18	24	116	21
magazine	0.016925	0.001220	-0.357955	43	2	4	35	2
soutenir	0.016903	0.001220	-0.249993	23	4	4	15	0
mediapart	0.016849	0.000915	-0.324006	44	4	5	33	2
cet	0.016835	0.007016	0.006290	67	17	16	28	6
ouverte	0.016805	0.001525	-0.169252	23	3	4	13	3
québec	0.016757	0.002441	-0.271046	67	3	6	51	7
hollande	0.016743	0.000915	-0.306811	24	1	1	20	2
non	0.016697	0.046065	0.221531	340	133	89	86	32
cc	0.016658	0.006406	0.054281	56	13	11	24	8
parlent	0.016648	0.002135	0.075297	23	6	4	12	1
britannique	0.016604	0.000305	-0.457107	30	0	0	29	1
qu'à	0.016604	0.004271	0.449764	22	8	5	3	6
morano	0.016597	0.001830	-0.118415	30	3	6	18	3
qu'ils	0.016566	0.005491	0.092110	47	15	16	13	3
d'hommes	0.016481	0.003356	0.362884	20	7	2	7	4
interview	0.016469	0.000305	-0.460972	30	0	4	25	1
s'engagent	0.016451	0.000610	-0.369040	30	1	1	26	2
vers	0.016439	0.006711	0.279453	44	21	5	16	2
autre	0.016439	0.009152	0.196139	68	27	14	21	6
qu'elle	0.016434	0.025015	0.229834	186	77	36	59	14
ah	0.016412	0.008237	0.125210	66	21	24	14	7
y	0.016396	0.038743	0.096914	346	108	71	135	32
time	0.016394	0.000305	-0.477960	63	0	1	61	1
qu'elles	0.016380	0.007016	0.453585	39	19	10	5	5
agressions	0.016234	0.007627	0.035093	78	18	14	38	8
sujet	0.016219	0.006101	-0.120124	78	16	15	43	4
crises	0.016212	0.001830	-0.008766	21	4	2	12	3
l'ex	0.016097	0.001220	-0.157114	22	3	3	15	1
n'ont	0.016070	0.007322	0.259523	47	16	10	13	8
vrai	0.015994	0.017694	0.347269	105	46	23	23	13
l'histoire	0.015980	0.004271	0.059393	38	11	7	16	4
l'europe	0.015974	0.000000	-0.513150	34	0	1	33	0
actualités	0.015951	0.001220	-0.224931	24	4	0	18	2
rendre	0.015925	0.002441	-0.064809	27	2	6	13	6
surtout	0.015839	0.008847	0.015541	87	21	25	31	10
".	0.015790	0.029591	0.259353	211	88	25	78	20
attention	0.015750	0.004881	0.063288	47	12	14	16	5
d'un	0.015695	0.031117	0.185227	242	86	47	83	26
part	0.015689	0.008847	0.299468	56	25	12	14	5
l'affaire	0.015674	0.007932	0.057023	75	16	12	35	12
devrait	0.015578	0.008542	0.317599	54	22	9	15	8
qu'est	0.015559	0.005186	0.146428	41	14	10	14	3
eh	0.015528	0.006406	0.511887	32	20	5	5	2
rappeler	0.015519	0.003356	0.362884	21	9	6	4	2
accusé	0.015494	0.010677	0.148853	98	31	24	34	9
l'air	0.015427	0.003966	0.165159	29	11	8	8	2
conseil	0.015357	0.001525	-0.210520	28	6	5	17	0
t'es	0.015350	0.015863	0.535967	83	55	13	11	4
à	0.015313	0.281879	-0.002130	3567	907	637	1752	271
tiendra	0.015293	0.000305	-0.444370	31	0	0	30	1
message	0.015290	0.003051	0.047276	27	10	4	13	0
"...	0.015269	0.002746	-0.026780	31	9	6	15	1
viols	0.015129	0.003051	0.174646	23	6	9	4	4
au	0.015088	0.102807	-0.038353	1234	277	189	667	101
reste	0.015068	0.008847	0.122812	70	22	13	28	7
grande	0.014964	0.006101	-0.074556	72	14	11	41	6
l'occasion	0.014950	0.000305	-0.447361	23	1	3	19	0
lol	0.014915	0.004881	0.639726	24	11	4	3	6
ma	0.014896	0.042404	0.286576	281	119	66	70	26
autant	0.014803	0.004576	0.068831	39	13	14	10	2
drôle	0.014786	0.003051	0.117329	24	8	6	8	2
toujours	0.014696	0.021354	0.128793	168	49	29	66	24
l'image	0.014676	0.002746	0.203605	20	8	7	4	1
des	0.014670	0.225747	0.035738	2709	715	477	1306	211
sarkozy	0.014561	0.000915	-0.286177	22	2	0	19	1
d'angela	0.014551	0.000610	-0.460057	62	0	1	59	2
j'étais	0.014548	0.003966	0.189384	29	9	8	8	4
polémique	0.014526	0.003356	0.023774	42	9	7	22	4
scène	0.014506	0.003356	0.243425	25	10	5	8	2
magnifique	0.014464	0.002135	-0.008766	21	5	5	9	2
du	0.014440	0.154973	-0.056146	2091	442	366	1117	166
tenue	0.014338	0.011287	0.819863	44	37	5	1	1
jdm	0.014263	0.000610	-0.361835	42	0	2	37	3
d'importuner	0.014241	0.004271	0.016453	53	9	12	25	7
défend	0.014218	0.004576	0.054281	51	13	3	31	4
entreprise	0.014216	0.001525	-0.134862	23	2	2	15	4
gouvernement	0.014202	0.005186	-0.091452	71	12	7	45	7
président	0.014161	0.006406	-0.100472	79	12	12	46	9
<number>	0.014137	0.110738	-0.044086	1702	352	234	978	138
allemande	0.014103	0.000305	-0.473330	40	0	0	39	1
d'être	0.014098	0.015863	0.165159	126	46	28	44	8
ca	0.014022	0.015863	0.126556	164	46	23	82	13
près	0.013978	0.007627	0.409503	42	19	8	9	6
minutes	0.013935	0.001220	-0.271046	26	2	2	20	2
cause	0.013866	0.009152	0.014693	91	24	17	42	8
avait	0.013821	0.012203	0.074481	111	36	16	53	6
caroline	0.013814	0.003051	0.117329	29	8	5	14	2
blanche	0.013808	0.003051	0.243425	20	7	3	7	3
aux	0.013773	0.049420	0.018586	525	127	99	250	49
qu'en	0.013764	0.005491	0.203605	38	11	12	8	7
critique	0.013751	0.002746	-0.251258	60	6	4	47	3
l'égalité	0.013746	0.023795	0.394740	138	64	18	39	17
mois	0.013698	0.007322	-0.064809	93	17	13	53	10
vieux	0.013682	0.003661	0.243425	24	8	10	2	4
vue	0.013676	0.004576	-0.049941	56	13	8	33	2
voilà	0.013674	0.007932	0.289746	50	23	8	16	3
christiane	0.013596	0.004881	-0.401064	253	3	15	221	14
centre	0.013560	0.003051	0.174646	25	10	3	11	1
qd	0.013548	0.005796	0.308274	36	18	8	9	1
leur	0.013544	0.031422	0.130877	294	91	46	136	21
blague	0.013409	0.005796	0.332434	36	14	7	10	5
ont	0.013361	0.034167	-0.033057	376	87	89	169	31
l'année	0.013356	0.001220	-0.445899	111	4	12	93	2
quelque	0.013334	0.003661	0.112981	29	11	8	9	1
mis	0.013332	0.005491	0.078952	48	14	12	18	4
<hashtag>	0.013317	0.782184	0.046532	19467	5253	3622	8654	1938
écouter	0.013285	0.003051	0.144741	23	6	3	10	4
exemple	0.013272	0.004271	0.075297	37	6	7	16	8
comme	0.013256	0.076876	0.202261	602	232	157	175	38
qu'un	0.013252	0.021965	0.534415	108	64	24	12	8
mais	0.013212	0.107077	0.182939	806	306	204	235	61
pour	0.013187	0.206528	-0.016108	2543	621	452	1269	201
acte	0.013184	0.003356	0.319083	20	9	2	7	2
qu'une	0.013178	0.015558	0.427956	84	43	13	20	8
actuelles	0.013148	0.001525	-0.302990	57	4	2	48	3
cœur	0.013128	0.002441	-0.122659	33	6	5	20	2
l'enceinte	0.013112	0.000000	-0.513150	32	0	4	28	0
êtes	0.013088	0.008847	0.299468	56	26	18	9	3
jamais	0.013035	0.018304	0.159361	143	51	40	42	10
années	0.013028	0.006406	0.177636	47	16	9	16	6
européens	0.012998	0.000305	-0.418578	23	1	1	21	0
culture	0.012820	0.015253	0.336934	126	70	10	39	7
mouvements	0.012804	0.001830	-0.100472	26	4	6	14	2
bientôt	0.012774	0.004881	0.092110	43	15	8	18	2
poursuivie	0.012754	0.000610	-0.473330	116	0	1	112	3
car	0.012743	0.014643	0.267831	94	39	24	22	9
nouveau	0.012657	0.006406	-0.120852	89	19	10	56	4
monier	0.012637	0.001525	0.027261	22	5	5	10	2
tech	0.012613	0.001830	-0.008766	24	11	4	9	0
dit	0.012581	0.038133	0.228590	271	113	60	77	21
faute	0.012538	0.003661	0.442524	21	12	4	4	1
raconte	0.012523	0.000915	-0.274231	21	1	7	10	3
as	0.012518	0.005186	0.221809	36	14	10	9	3
rencontre	0.012491	0.001220	-0.365525	43	2	4	35	2
pauvre	0.012435	0.004576	0.297466	29	12	8	5	4
l'avenir	0.012432	0.000610	-0.454952	61	3	3	55	0
attaquée	0.012410	0.000000	-0.513150	35	0	0	35	0
conférence	0.012384	0.000915	-0.338555	30	1	2	25	2
couple	0.012368	0.003356	0.243425	24	8	3	10	3
l'initiative	0.012317	0.000305	-0.447361	23	1	3	19	0
n'importe	0.012303	0.003356	0.127029	26	10	10	5	1
elle	0.012299	0.068029	0.098141	687	221	145	259	62
peu	0.012294	0.018304	0.179896	140	50	36	42	12
georges	0.012260	0.003966	0.306473	31	9	5	10	7
autres	0.012219	0.010677	0.050257	104	24	31	37	12
<FILLER>	0.012154	0.988713	-0.000970	303114	74284	52825	151981	24024
trois	0.012153	0.003661	0.005645	36	9	7	17	3
devoir	0.012147	0.004576	-0.218380	112	9	17	75	11
."	0.012038	0.028981	0.168126	239	80	51	88	20
dire	0.011938	0.033557	0.268289	224	88	61	46	29
pire	0.011929	0.005186	0.046058	54	17	11	25	1
personne	0.011928	0.017084	0.278779	113	43	26	27	17
levée	0.011897	0.000610	-0.375591	29	0	0	26	3
5	0.011887	0.001220	-0.224931	24	3	1	19	1
met	0.011886	0.005186	-0.027800	56	15	5	33	3
pas	0.011836	0.254118	0.204649	2120	841	517	590	172
classe	0.011766	0.004576	0.196139	34	12	7	12	3
site	0.011754	0.002135	-0.031693	27	8	6	12	1
envers	0.011750	0.005491	0.120262	47	18	18	8	3
devant	0.011737	0.011897	0.157451	91	31	17	34	9
j'en	0.011723	0.006101	0.190641	48	15	12	15	6
l'allemagne	0.011703	0.000305	-0.454952	30	0	1	27	2
paris	0.011656	0.008847	0.003101	89	25	17	43	4
l'adresse	0.011604	0.000000	-0.513150	29	0	2	27	0
clip	0.011597	0.003051	0.174646	28	12	9	5	2
toutes	0.011585	0.018609	0.225267	135	58	27	42	8
loi	0.011565	0.004271	-0.141499	65	11	6	43	5
mdr	0.011454	0.005491	0.151160	57	19	23	10	5
photos	0.011444	0.002746	-0.008766	33	6	9	15	3
anmelden	0.011431	0.002135	-0.120852	51	7	4	34	6
travail	0.011423	0.015863	-0.245518	331	30	37	238	26
soleil	0.011382	0.002135	0.044327	20	6	3	9	2
google	0.011324	0.000915	-0.331572	28	2	3	21	2
bonjour	0.011319	0.004271	0.109912	35	9	5	15	6
deux	0.011298	0.010677	-0.064334	128	30	29	59	10
hey	0.011283	0.005491	0.671054	28	16	3	7	2
info	0.011238	0.001525	-0.134862	23	3	4	14	2
samedi	0.011168	0.000305	-0.468645	35	1	1	33	0
cette	0.011092	0.049420	0.005096	504	140	108	220	36
balancetonporc	0.011070	0.003356	0.103319	36	9	1	23	3
d'	0.011065	0.009762	0.018947	92	26	13	45	8
manière	0.011031	0.003661	0.312205	23	9	4	7	3
in	0.011025	0.000610	-0.392098	31	2	2	27	0
fr	0.010982	0.004881	-0.102804	95	17	12	59	7
réformes	0.010980	0.000305	-0.429086	20	0	0	19	1
entendu	0.010941	0.003661	0.276320	23	12	4	7	0
mandat	0.010890	0.000610	-0.369040	26	1	0	24	1
couverture	0.010799	0.002135	0.016453	21	4	1	13	3
disait	0.010728	0.002135	-0.008766	21	6	6	8	1
radio	0.010723	0.006406	-0.139313	92	13	13	57	9
seulement	0.010723	0.004271	0.109912	35	10	4	17	4
celles	0.010688	0.006101	-0.054619	71	15	17	32	7
combat	0.010684	0.006101	0.080242	56	12	13	23	8
transports	0.010658	0.002135	-0.192179	50	3	7	34	6
point	0.010622	0.008237	0.070494	83	26	18	31	8
t	0.010620	0.008542	-0.071814	105	19	24	52	10
arditi	0.010584	0.000610	-0.345022	27	0	0	25	2
s'insurgent	0.010526	0.000610	-0.238032	20	1	2	15	2
donne	0.010476	0.006711	0.060804	62	16	9	30	7
the	0.010414	0.001830	-0.392098	112	2	8	98	4
18h00	0.010368	0.000000	-0.513150	23	0	0	23	0
certaines	0.010364	0.005491	0.243425	38	18	8	10	2
inrocks	0.010347	0.002441	-0.047565	44	8	5	26	5
maison	0.010346	0.002746	0.078952	24	8	1	14	1
domicile	0.010313	0.000610	-0.469917	70	1	1	67	1
n'en	0.010312	0.003051	0.047276	27	8	6	11	2
marseille	0.010312	0.002441	0.123966	20	7	1	11	1
demande	0.010300	0.010067	0.143876	84	28	18	29	9
forme	0.010287	0.002135	-0.105763	29	3	5	17	4
collègue	0.010268	0.004881	0.383532	28	16	9	3	0
blanc	0.010243	0.003661	0.072586	33	11	6	14	2
oui	0.010233	0.020134	0.166224	163	63	46	44	10
2	0.010232	0.006406	-0.105763	101	20	25	49	7
partir	0.010232	0.001830	-0.100472	22	6	2	14	0
témoignage	0.010229	0.001525	-0.197910	24	4	4	15	1
contre	0.010221	0.044234	-0.123440	713	110	95	454	54
vidéo	0.010216	0.003966	-0.294584	106	9	6	85	6
!"	0.010206	0.017084	0.397994	108	53	13	36	6
sans	0.010201	0.034777	0.208604	261	95	60	81	25
notre	0.010182	0.010372	-0.225736	187	24	35	116	12
confiance	0.010181	0.002135	-0.160081	33	6	4	22	1
nos	0.010135	0.009152	-0.096686	122	28	21	69	4
qu'il	0.010078	0.029591	0.172717	234	81	74	57	22
j'aime	0.010053	0.005491	0.054281	52	15	10	22	5
l'heure	0.010039	0.004271	0.334214	27	11	4	9	3
manque	0.010034	0.003051	0.008626	30	7	9	11	3
propre	0.010029	0.003356	0.152636	29	9	5	13	2
trop	0.010021	0.021049	0.182899	164	67	41	46	10
l'autre	0.010003	0.005186	0.316642	33	15	6	8	4
avis	0.009947	0.003661	0.020903	36	12	9	14	1
libre	0.009913	0.005186	0.034160	57	17	5	33	2
livre	0.009912	0.003051	-0.068106	36	7	3	22	4
ai	0.009906	0.003966	0.082940	36	11	10	13	2
voit	0.009895	0.007016	0.143500	56	20	15	18	3
lit	0.009883	0.002441	0.092110	20	6	10	2	2
passe	0.009866	0.012813	0.323065	79	34	20	17	8
derrière	0.009836	0.002746	-0.180995	42	8	4	29	1
tes	0.009826	0.010067	0.465947	52	30	12	6	4
mariage	0.009823	0.002441	-0.109643	36	3	10	18	5
afin	0.009804	0.002135	-0.052626	23	4	3	13	3
0	0.009794	0.001830	-0.080821	24	4	3	15	2
projet	0.009731	0.000305	-0.471118	38	1	6	31	0
dessus	0.009683	0.003661	0.243425	25	9	5	7	4
dès	0.009561	0.003356	-0.075133	40	9	5	24	2
username	0.009552	0.009457	0.032288	87	27	13	42	5
dimanche	0.009550	0.000915	-0.315782	25	3	1	21	0
lrem	0.009540	0.001830	-0.100472	25	8	3	13	1
royal	0.009520	0.003051	-0.430464	229	4	7	210	8
série	0.009512	0.000915	-0.324006	28	1	7	18	2
évidemment	0.009510	0.002135	0.016453	21	6	5	9	1
tt	0.009466	0.001830	-0.035313	20	5	6	8	1
weinstein	0.009459	0.004271	-0.165869	70	7	13	43	7
putain	0.009441	0.007627	0.633176	35	21	7	2	5
soutient	0.009397	0.001220	-0.157114	20	4	3	13	0
après	0.009370	0.029896	-0.106879	407	74	60	247	26
titre	0.009351	0.003661	0.159361	27	6	2	13	6
clichés	0.009330	0.003966	0.273688	34	9	5	13	7
fin	0.009319	0.003966	-0.223871	85	7	8	62	8
hein	0.009311	0.008542	0.495617	49	27	11	6	5
loin	0.009305	0.004881	-0.047565	59	15	16	25	3
silence	0.009297	0.003356	-0.312612	102	7	12	79	4
photo	0.009289	0.004271	-0.031693	53	10	7	31	5
tous	0.009270	0.028371	0.063584	261	70	55	105	31
garde	0.009177	0.002135	-0.210520	42	6	2	33	1
libération	0.009114	0.004576	-0.290628	152	11	15	116	10
pensée	0.009044	0.002746	0.167768	20	4	8	3	5
l'	0.009042	0.011897	-0.100472	158	32	28	84	14
milieu	0.009041	0.002746	-0.124054	36	4	10	17	5
jeune	0.009007	0.008847	0.141796	76	24	22	21	9
organisations	0.009001	0.000000	-0.513150	27	0	0	27	0
lois	0.009000	0.000915	-0.229434	20	1	5	11	3
pro	0.008975	0.001830	-0.080821	22	4	5	11	2
de	0.008970	0.567724	0.006306	9415	2533	1737	4412	733
durant	0.008957	0.001220	-0.340218	35	2	3	28	2
n'est	0.008951	0.035387	0.136944	292	102	63	108	19
news	0.008919	0.000915	-0.407581	59	0	2	54	3
dont	0.008858	0.008542	-0.080821	99	20	18	53	8
sein	0.008856	0.001525	-0.169252	26	2	9	12	3
.	0.008820	0.403905	0.046150	6350	1830	1236	2750	534
demain	0.008806	0.005186	-0.123399	72	15	3	50	4
alors	0.008758	0.028981	0.272365	192	80	46	48	18
réunion	0.008697	0.001525	-0.152876	24	3	2	16	3
crois	0.008691	0.003661	-0.059205	41	10	15	14	2
matin	0.008668	0.003966	-0.085520	47	8	5	28	6
le	0.008639	0.374314	-0.016059	5416	1238	908	2817	453
prochain	0.008620	0.001525	-0.184204	26	3	3	18	2
sais	0.008613	0.009762	0.475030	50	26	7	11	6
peur	0.008606	0.008542	0.083585	80	23	30	19	8
déjà	0.008581	0.016779	0.302764	109	47	21	32	9
parti	0.008581	0.004576	-0.092830	61	16	9	34	2
rappel	0.008570	0.001830	-0.134862	26	5	10	10	1
musiciennes	0.008518	0.000305	-0.361835	20	0	2	15	3
es	0.008500	0.007016	0.379221	47	25	11	9	2
nationale	0.008498	0.002441	-0.393296	114	1	7	97	9
son	0.008482	0.062233	0.051169	623	172	128	276	47
l'état	0.008466	0.001220	-0.260958	26	3	9	13	1
d	0.008459	0.010067	0.180377	84	29	26	21	8
pareil	0.008435	0.002135	0.109912	20	5	5	7	3
normal	0.008412	0.005186	0.373869	31	16	9	4	2
janvier	0.008393	0.000305	-0.496337	125	0	2	122	1
buzz	0.008370	0.003356	0.103319	30	10	7	11	2
cela	0.008350	0.011897	0.173046	92	29	29	22	12
trouver	0.008343	0.004271	0.243425	28	11	7	7	3
simple	0.008335	0.004576	0.327489	29	15	8	4	2
était	0.008331	0.015863	0.022114	161	41	42	63	15
seul	0.008314	0.007016	0.356911	43	18	7	13	5
lancé	0.008314	0.001220	-0.329738	35	0	1	30	4
visé	0.008311	0.001525	-0.134862	26	5	6	14	1
penser	0.008271	0.003661	0.159361	27	9	7	8	3
n'ai	0.008229	0.004576	0.196139	36	16	10	9	1
donc	0.008208	0.023490	0.201651	167	67	41	46	13
bout	0.008207	0.003356	0.041672	37	7	2	24	4
comportements	0.008185	0.003356	0.243425	22	9	10	1	2
bah	0.008171	0.003966	0.342109	25	14	5	5	1
ans	0.008151	0.032947	0.167768	272	96	61	96	19
les	0.008141	0.321538	0.037182	4194	1157	805	1883	349
>	0.008137	0.017999	-0.017173	229	67	35	116	11
vu	0.008114	0.011287	0.088856	99	29	23	38	9
chaque	0.008107	0.009152	0.297466	61	25	11	20	5
ça	0.008072	0.102807	0.287371	742	349	199	146	48
croire	0.008067	0.006406	0.394740	36	20	6	8	2
limite	0.008048	0.003661	0.495617	21	13	6	1	1
ils	0.008035	0.021965	0.198921	171	58	52	40	21
pouvoir	0.008028	0.011897	0.263335	82	28	20	23	11
&	0.007999	0.014948	0.109912	141	46	26	55	14
rester	0.007990	0.002441	0.092110	21	7	8	4	2
tel	0.007975	0.003051	0.243425	21	10	3	7	1
corps	0.007962	0.008237	0.287930	56	24	19	9	4
puissante	0.007954	0.000305	-0.468645	37	1	0	36	0
ne	0.007924	0.122331	0.144243	1051	385	272	316	78
pendant	0.007891	0.010372	0.129939	84	31	20	28	5
texte	0.007829	0.002135	-0.226878	43	6	9	24	4
télé	0.007828	0.003966	0.101567	36	11	3	20	2
x	0.007825	0.001525	-0.068106	23	5	7	9	2
go	0.007808	0.001525	0.027261	20	5	4	11	0
place	0.007800	0.013728	0.181664	103	39	20	35	9
journée	0.007754	0.007627	-0.300629	223	18	13	183	9
comprendre	0.007715	0.004881	0.293863	31	13	8	6	4
lance	0.007693	0.003356	-0.151310	57	4	4	41	8
campagne	0.007625	0.004576	-0.193470	89	8	23	49	9
mise	0.007622	0.002746	-0.059205	30	6	6	15	3
émission	0.007608	0.002746	0.243425	20	6	7	4	3
haut	0.007584	0.003966	0.215404	28	12	4	10	2
dérange	0.007582	0.003051	0.174646	27	9	7	9	2
tout	0.007572	0.050031	0.073509	458	138	112	168	40
lors	0.007562	0.003356	-0.193060	54	8	8	34	4
avoir	0.007546	0.025625	0.204955	189	77	39	58	15
,	0.007505	0.471629	0.032403	7783	2125	1452	3583	623
laisse	0.007498	0.004576	0.327489	26	15	5	6	0
pourquoi	0.007457	0.025015	0.129743	209	65	41	82	21
même	0.007402	0.052166	0.221932	368	141	92	97	38
bref	0.007396	0.002135	-0.008766	22	7	7	7	1
jean	0.007377	0.005796	0.009575	58	13	9	30	6
changement	0.007357	0.001525	-0.092830	21	4	1	15	1
viens	0.007357	0.005796	0.171370	42	17	12	11	2
date	0.007330	0.001525	-0.134862	21	3	3	13	2
traitement	0.007319	0.003661	0.005645	36	9	5	19	3
plutôt	0.007316	0.012813	0.357430	76	29	20	12	15
tron	0.007311	0.005186	-0.104839	107	12	4	82	9
2018	0.007287	0.005796	0.061847	56	14	8	28	6
balance	0.007285	0.012508	0.107242	111	37	28	41	5
idées	0.007223	0.004271	0.271446	27	12	6	7	2
réitérer	0.007186	0.000000	-0.513150	21	0	0	21	0
programme	0.007160	0.001220	-0.280357	29	2	1	23	3
répond	0.007160	0.000915	-0.315782	26	2	5	18	1
depuis	0.007146	0.013728	-0.019731	145	36	33	63	13
en	0.007135	0.218121	0.002533	2588	640	475	1265	208
plein	0.007093	0.005186	-0.053801	57	12	13	26	6
ds	0.007074	0.006406	0.323065	39	20	7	11	1
celui	0.007044	0.008542	0.148853	71	27	16	27	1
l'amour	0.007023	0.004576	0.567672	25	17	3	4	1
devient	0.007008	0.003051	-0.040290	33	9	11	12	1
reçoit	0.006986	0.001220	-0.210520	23	3	3	16	1
l'article	0.006924	0.000915	-0.274231	23	1	6	14	2
fais	0.006875	0.010677	0.415977	60	33	12	13	2
publics	0.006840	0.001220	-0.238032	29	2	5	18	4
cap	0.006839	0.001220	-0.249993	29	3	5	20	1
combattre	0.006834	0.003051	0.047276	28	7	3	15	3
police	0.006832	0.004576	0.068831	42	14	12	14	2
franchement	0.006828	0.003356	0.081302	29	10	13	5	1
;	0.006818	0.007016	-0.078119	97	22	27	46	2
amis	0.006812	0.002746	0.135343	23	7	3	11	2
aucune	0.006809	0.007322	0.312205	47	20	6	16	5
vive	0.006763	0.002746	0.243425	27	8	13	3	3
1	0.006755	0.005796	-0.144562	101	12	12	68	9
partie	0.006746	0.005491	0.092110	50	15	8	24	3
fier	0.006732	0.001220	-0.238032	23	3	3	16	1
marche	0.006718	0.003661	-0.220282	73	8	14	47	4
mots	0.006706	0.003966	-0.033370	50	12	2	33	3
cinq	0.006703	0.000610	-0.401064	37	0	11	24	2
peuvent	0.006624	0.003051	0.008626	30	7	12	8	3
ps	0.006589	0.003966	0.342109	28	14	1	10	3
continuer	0.006568	0.003661	0.020903	36	4	8	15	9
